Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region
Seychelles,Africa,98551,153,,,,149,,4,,1552,,5200,52765,Africa
Brunei ,Asia,438877,148,,3,,143,,2,,337,7,66995,152651,
Antigua and Barbuda,North America,98200,128,1,3,,117,1,8,,1303,31,3677,37444,Americas
St. Barth,North America,9887,83,,,,67,,16,,8395,,3526,356630,
Saint Lucia,North America,183909,78,,,,28,,50,,424,,10794,58692,Americas
St. Vincent Grenadines,North America,111059,74,,,,70,,4,,666,,6888,62021,
British Virgin Islands,North America,30298,71,,1,,70,,0,,2343,33,5193,171397,
Dominica,North America,72046,50,,,,33,,17,,694,,4268,59240,Americas
Macao,Asia,652273,46,,,,46,,0,,71,,4238,6497,
Fiji,Australia/Oceania,898619,34,,2,,31,,1,,38,2,12527,13940,WesternPacific
Timor-Leste,Asia,1326722,30,,,,29,,1,,23,,11268,8493,South-EastAsia
Grenada,North America,112698,28,,,,24,,4,,248,,6252,55476,Americas
New Caledonia,Australia/Oceania,286414,28,,,,28,,0,,98,,15750,54990,
Vatican City,Europe,802,27,,,,15,,12,,33666,,,,Europe
Laos,Asia,7310568,24,,,,22,,2,,3,,65305,8933,WesternPacific
Saint Kitts and Nevis,North America,53325,19,,,,19,,0,,356,,3138,58847,Americas
Greenland,North America,56803,17,,,,16,,1,,299,,10937,192543,Europe
Saint Pierre Miquelon,North America,5784,16,,,,12,,4,,2766,,2404,415629,
Montserrat,North America,4993,13,,1,,12,,0,,2604,200,483,96735,
Falkland Islands,South America,3513,13,,,,13,,0,,3701,,2682,763450,
Western Sahara,Africa,602143,10,,1,,8,,1,,17,2,,,Africa
